hs4,year,month,pred_exposure,notif_count
0103,2023,5,0.019812387711199884,1
0103,2023,7,0.05583814079989204,1
0103,2023,9,0.03601784399836967,1
0103,2023,10,0.03108553644489753,1
0103,2023,11,0.026173299903352622,2
0103,2023,12,0.020892530071382354,1
0103,2024,1,0.05251420666201916,2
0103,2024,2,0.029496649803471598,1
0103,2024,8,0.05038278427238671,1
0103,2025,4,0.06759521666199073,1
0201,2021,2,0.01695050456871744,1
0201,2021,5,0.023754369083721742,1
0201,2021,9,0.018323811949001286,1
0201,2021,12,0.04485729209132557,1
0201,2022,2,0.03420215773230604,1
0201,2022,4,0.014728572238941506,1
0201,2022,5,0.0173795647668272,1
0201,2022,8,0.029480215377173567,2
0201,2022,10,0.014990281423662585,1
0201,2023,1,0.06495645716438939,2
0201,2023,3,0.02637105052811652,1
0201,2023,8,0.04427038323066065,1
0201,2023,9,0.04881998474355851,1
0201,2023,11,0.007301211496057907,1
0201,2023,12,0.009958468420999757,1
0201,2024,1,0.0074844944388685565,1
0201,2024,2,0.013820213529559613,1
0201,2024,3,0.021148549844812497,1
0201,2024,4,0.01406850869856839,1
0201,2024,9,0.01035106455555723,1
0201,2024,11,0.01180427378892226,1
0201,2024,12,0.013155530444279428,1
0201,2025,1,0.018555503367992096,1
0201,2025,7,0.040599213805115816,2
0201,2025,12,0.018396697426078818,1
0202,2021,2,0.017616886497608043,1
0202,2021,5,0.02468823404481579,1
0202,2021,9,0.019044183257224123,1
0202,2021,12,0.04662078465919834,1
0202,2022,2,0.03554676076459201,1
0202,2022,4,0.015307602458284003,1
0202,2022,5,0.018062814509962947,1
0202,2022,8,0.030639182811299792,2
0202,2022,10,0.015579600320289926,1
0202,2023,1,0.0675101162040731,2
0202,2023,3,0.027407786127729858,1
0202,2023,8,0.04601080241702626,1
0202,2023,9,0.05073926422399724,1
0202,2023,11,0.007588246927968324,1
0202,2023,12,0.010349969651436822,1
0202,2024,1,0.007778735346018235,1
0202,2024,2,0.014363533081622056,1
0202,2024,3,0.021979971197592416,1
0202,2024,4,0.014621589577379983,1
0202,2024,9,0.010758000074003885,1
0202,2024,11,0.01226833990003567,1
0202,2024,12,0.013672719045804419,1
0202,2025,1,0.019284983253134786,1
0202,2025,7,0.04219530684749197,2
0202,2025,12,0.01911993411005529,1
0203,2021,2,0.014121255754273102,1
0203,2021,5,0.01978947114835142,1
0203,2021,9,0.0152653411511178,1
0203,2021,12,0.037370055357217595,1
0203,2022,2,0.028493394679072224,1
0203,2022,4,0.012270191405701444,1
0203,2022,5,0.01447870049976279,1
0203,2022,8,0.024559602892318018,2
0203,2022,10,0.012488218091320532,1
0203,2023,1,0.05411442124281452,2
0203,2023,3,0.02196939610303112,1
0203,2023,8,0.03688110884283513,1
0203,2023,9,0.04067132560500906,1
0203,2023,11,0.006082549014036451,1
0203,2023,12,0.008296276899822708,1
0203,2024,1,0.006235239767301786,1
0203,2024,2,0.011513448997249723,1
